Timestamp,Close,EMAV5,Vol,RSI14,MACD13,EMAVVol5,EMAVMACD5
30/8/2019 10:38,1092.02,1089.1359,1977,67.4809,0.738,1178.6392,0.215
30/8/2019 10:39,1090.73,1089.6673,2944,60.4092,0.9362,1767.1388,0.455
30/8/2019 10:40,1091.83,1090.3882,4086,63.8847,1.2144,2539.9545,0.708
30/8/2019 10:41,1091.3,1090.6921,9820,61.1015,1.2146,4966.7853,0.877
30/8/2019 10:42,1091.24,1090.8748,4818,60.7787,1.1454,4917.3506,0.966
30/8/2019 10:43,1091.68,1091.1432,1569,62.3496,1.1352,3801.237,1.023
30/8/2019 10:44,1092.02,1091.4354,15628,63.5641,1.14,7743.4374,1.062
30/8/2019 10:45,1092.92,1091.9303,7020,66.6323,1.2599,7502.1712,1.128
30/8/2019 10:46,1092.41,1092.0902,7912,63.3755,1.1713,7638.7352,1.142
30/8/2019 10:47,1093.05,1092.4101,5019,65.6448,1.1868,6765.4594,1.157
30/8/2019 10:48,1092.81,1092.5434,8056,64.0423,1.0934,7195.633,1.136
30/8/2019 10:49,1091.99,1092.3589,8783,58.7639,0.8318,7724.8303,1.035
30/8/2019 10:50,1090.83,1091.8493,7459,52.2084,0.4218,7636.1112,0.83
30/8/2019 10:51,1090.91,1091.5362,2880,52.6011,0.1826,6050.7198,0.614
30/8/2019 10:52,1090.46,1091.1775,3499,50.1069,-0.0485,5200.2659,0.393
30/8/2019 10:53,1092.35,1091.5683,4752,58.9179,0.1818,5050.7162,0.323
30/8/2019 10:54,1091.52,1091.5522,6558,54.3764,0.1466,5553.1065,0.264
30/8/2019 10:55,1092.22,1091.7748,2467,57.3615,0.2529,4524.278,0.26
30/8/2019 10:56,1092.13,1091.8932,885,56.8465,0.2844,3311.3397,0.268
30/8/2019 10:57,1092.47,1092.0855,2622,58.3672,0.3536,3081.5174,0.297
30/8/2019 10:58,1092.18,1092.117,1798,56.5371,0.3211,2653.6843,0.305
30/8/2019 10:59,1091.76,1091.998,1103,53.9013,0.2073,2136.8462,0.272
30/8/2019 11:00,1092.28,1092.092,1098,56.5992,0.2314,1790.6395,0.259
30/8/2019 11:01,1092.06,1092.0813,4238,55.1292,0.1922,2606.3813,0.237
